-7.91590071  2.89017797  1.14999998  0.434782624  0.199000001  0.203027666
 200  1. -2.  93.  94.2297745  0.
  1.39151573 -0.74297291 -0.513493836 1
  0.107854657 -0.530783772  0.0541856773
  2.87111473  1.17537129  0.146924123 2
  0.399558216 -0.0683204308  0.141706914
  1.30580962  0.0195291173  0.567346215 1
 -0.439663142  0.9664886 -0.123359948
 -0.395154417 -1.12994361 -0.843237817 2
  0.00170360669 -0.798205674 -0.64374423
 -2.22264719  0.293111295  0.31917733 1
  0.00650510658 -0.56182152  0.0852767304
 -2.64016509 -1.9577533 -0.179823145 2
  0.0952726007 -0.0550423078  0.34269169
  0.148068205  3.17670488  0.358017653 1
 -0.0698485523  0.263623297 -0.221789345
  1.14119458 -0.363080561 -2.02884626 2
 -0.480784416  0.145085365  0.528919399
 -1.49508739 -2.42779827  0.379204094 1
 -0.269901395  0.679746091  0.0602599382
 -0.870658398  1.4917922 -0.0838512927 2
 -0.0413900316  0.275921166 -0.385918647
  0.662816286  0.441803783  1.7719481 1
 -0.367008299 -0.184773535  0.685948074
 -2.11542249  0.377897322 -0.336031735 2
 -0.350565314 -0.131451204  0.156149685
 -2.5334394  0.26180926 -0.0926892981 1
  0.0441742502  0.0712449327 -0.122587025
  1.36672616  1.5939815 -0.434927911 2
  0.772508502 -0.20156081 -0.172097787
  1.41027379 -0.664936662 -0.560140193 1
  0.625683129 -0.176519439  0.00809277315
  2.01016688 -1.00444245  1.19646549 2
 -0.169107676  0.101447858 -0.203041986
  0.182633042  0.578917027 -0.025807254 1
 -0.685391903  0.506936789 -0.663735271
 -0.217744514 -1.11998999  0.359765649 2
  0.820400655 -0.302015215  0.473043323
